indexname,index_size,idx_scan,idx_tup_read,idx_tup_fetch,indexdef
gin_versao_arquivo_tags_versao,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_tags_versao ON dicionario.versao_arquivo USING gin (tags_versao)
gin_versao_arquivo_dados_estrutura,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_dados_estrutura ON dicionario.versao_arquivo USING gin (dados_estrutura)
gin_versao_arquivo_dados_conteudo,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_dados_conteudo ON dicionario.versao_arquivo USING gin (dados_conteudo)
gin_versao_arquivo_produtor_snapshot,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_produtor_snapshot ON dicionario.versao_arquivo USING gin (produtor_snapshot)
gin_versao_arquivo_extensoes_snapshot,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_extensoes_snapshot ON dicionario.versao_arquivo USING gin (extensoes_snapshot)
gin_versao_arquivo_diferenca_versao_anterior,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_diferenca_versao_anterior ON dicionario.versao_arquivo USING gin (diferenca_versao_anterior)
gin_versao_arquivo_campos_adicionados,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_campos_adicionados ON dicionario.versao_arquivo USING gin (campos_adicionados)
gin_versao_arquivo_campos_removidos,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_campos_removidos ON dicionario.versao_arquivo USING gin (campos_removidos)
gin_versao_arquivo_campos_modificados,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_campos_modificados ON dicionario.versao_arquivo USING gin (campos_modificados)
gin_versao_arquivo_extras,16 kB,0,0,0,CREATE INDEX gin_versao_arquivo_extras ON dicionario.versao_arquivo USING gin (extras)
gin_workflow_aprovacao_etapas_concluidas,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_etapas_concluidas ON dicionario.workflow_aprovacao USING gin (etapas_concluidas)
gin_workflow_aprovacao_proximas_etapas,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_proximas_etapas ON dicionario.workflow_aprovacao USING gin (proximas_etapas)
gin_workflow_aprovacao_aprovadores_necessarios,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_aprovadores_necessarios ON dicionario.workflow_aprovacao USING gin (aprovadores_necessarios)
gin_workflow_aprovacao_aprovadores_atuais,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_aprovadores_atuais ON dicionario.workflow_aprovacao USING gin (aprovadores_atuais)
gin_workflow_aprovacao_revisores_atribuidos,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_revisores_atribuidos ON dicionario.workflow_aprovacao USING gin (revisores_atribuidos)
gin_workflow_aprovacao_rejeitado_por,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_rejeitado_por ON dicionario.workflow_aprovacao USING gin (rejeitado_por)
gin_workflow_aprovacao_historico_acoes,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_historico_acoes ON dicionario.workflow_aprovacao USING gin (historico_acoes)
gin_workflow_aprovacao_comentarios_aprovadores,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_comentarios_aprovadores ON dicionario.workflow_aprovacao USING gin (comentarios_aprovadores)
gin_workflow_aprovacao_notificacoes_enviadas,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_notificacoes_enviadas ON dicionario.workflow_aprovacao USING gin (notificacoes_enviadas)
gin_workflow_aprovacao_configuracao_workflow,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_configuracao_workflow ON dicionario.workflow_aprovacao USING gin (configuracao_workflow)
gin_workflow_aprovacao_extras,16 kB,0,0,0,CREATE INDEX gin_workflow_aprovacao_extras ON dicionario.workflow_aprovacao USING gin (extras)
